Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,BRK-B,BBY,BIIB,BLK,HRB,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF-B,CHRW,COG,CDNS,CPB,COF,CPRI,CAH,KMX,CCL,CAT,CBOE,CBRE,CBS,CDW,CE,CELG,CNC,CNP,CTL,CERN,CF,SCHW,CHTR,CVX,CMG,CB,CHD,CI,XEC,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,COO,CPRT
2018-01-02,226.04042053222656,57.01773452758789,90.9574966430664,192.49000549316406,149.87185668945312,63.47029495239258,177.6999969482422,10.979999542236328,105.830810546875,10.279043197631836,200.12327575683594,42.5350227355957,66.69569396972656,159.21234130859375,65.55999755859375,72.72689056396484,128.4929962158203,124.20610809326172,124.05000305175781,224.6199951171875,78.68865966796875,165.65785217285156,250.72218322753906,40.14556884765625,98.88836669921875,1073.2099609375,1065.0,65.1832275390625,1189.010009765625,10.975545883178711,55.917911529541016,52.18938446044922,68.65885925292969,96.47824096679688,57.18549346923828,136.86260986328125,86.40629577636719,163.40965270996094,91.53813934326172,71.97428894042969,169.17161560058594,86.53085327148438,87.54985046386719,148.5500030517578,222.1118927001953,129.0810546875,60.16762161254883,42.664649963378906,41.228389739990234,168.33905029296875,51.668495178222656,84.79707336425781,38.271915435791016,27.33486557006836,231.02999877929688,60.13084030151367,95.7386245727539,82.29756927490234,34.705867767333984,107.12000274658203,112.45732116699219,736.5399780273438,168.61770629882812,112.32088470458984,30.992692947387695,38.09916305541992,29.0540771484375,52.1795654296875,66.1186752319336,47.66468811035156,213.7165985107422,197.22000122070312,66.41110229492188,334.1700134277344,488.9391784667969,25.270183563232422,288.0162658691406,1784.75,50.56488800048828,123.70866394042969,25.280000686645508,58.204078674316406,253.91598510742188,88.70735931396484,51.801177978515625,86.86675262451172,28.435266494750977,42.04999923706055,44.58802795410156,96.97354888916016,64.02999877929688,59.7360954284668,64.76000213623047,63.56913375854492,151.7032012939453,120.63995361328125,43.81999969482422,57.926292419433594,68.3890151977539,103.51435852050781,106.16000366210938,51.29499816894531,26.388652801513672,14.833697319030762,68.39912414550781,41.36820602416992,50.47029495239258,348.9700012207031,120.4332504272461,292.95001220703125,137.7559814453125,48.30955505371094,202.4634246826172,124.0296630859375,70.18267822265625,155.07745361328125,36.95533752441406,71.77840423583984,40.91011428833008,87.78146362304688,139.26490783691406,139.99827575683594,44.871646881103516,43.298641204833984,69.59165954589844,72.40723419189453,39.754512786865234,83.25851440429688,36.053714752197266,151.55734252929688,53.83118438720703,79.1196517944336,221.90138244628906,220.5410614013672,43.599998474121094
2018-01-03,226.0308380126953,57.14381790161133,92.38086700439453,195.82000732421875,150.56353759765625,64.45723724365234,181.0399932861328,11.550000190734863,106.78846740722656,10.269596099853516,199.2164764404297,42.66073989868164,68.3926773071289,160.07810974121094,65.94000244140625,72.38753509521484,128.7469940185547,123.62298583984375,124.94999694824219,231.1999969482422,79.0234603881836,165.48277282714844,255.37667846679688,39.79283142089844,98.94659423828125,1091.52001953125,1082.47998046875,64.94365692138672,1204.199951171875,10.975545883178711,55.630611419677734,51.54920959472656,68.08045196533203,97.07306671142578,57.819820404052734,137.39596557617188,85.7951889038086,162.601806640625,91.87882232666016,72.60748291015625,172.3638916015625,87.65436553955078,88.635986328125,151.4199981689453,225.20770263671875,131.142578125,60.52942657470703,43.6566276550293,41.285316467285156,168.3097381591797,52.58418273925781,86.20526123046875,37.975975036621094,27.551496505737305,235.60000610351562,60.58543014526367,96.0087661743164,81.62013244628906,33.904415130615234,109.37999725341797,113.67894744873047,749.4299926757812,169.1409149169922,112.64130401611328,32.24277877807617,38.00053787231445,28.956905364990234,52.49951171875,67.18177795410156,48.1802864074707,215.825927734375,199.7899932861328,65.68131256103516,339.8500061035156,494.09783935546875,25.16630744934082,288.94775390625,1824.1600341796875,50.81878662109375,123.7756576538086,25.559999465942383,58.25154495239258,256.69281005859375,88.62918853759766,52.17609786987305,86.62474822998047,28.56317710876465,42.93000030517578,43.9576416015625,96.80803680419922,63.79999923706055,59.38654327392578,66.94000244140625,63.71198654174805,151.93504333496094,121.43602752685547,44.189998626708984,57.95566177368164,70.38890838623047,103.92157745361328,109.13999938964844,52.21500015258789,26.332143783569336,14.552532196044922,68.89787292480469,41.3777961730957,50.548789978027344,353.0299987792969,121.31114196777344,309.0,138.84022521972656,47.99680709838867,205.86181640625,124.71150970458984,69.90416717529297,156.62969970703125,37.25013732910156,72.00041961669922,41.379798889160156,88.73162841796875,137.76649475097656,142.24148559570312,44.59449005126953,43.203556060791016,70.18017578125,72.12777709960938,39.11565399169922,83.22966766357422,35.87113952636719,152.24578857421875,54.823734283447266,78.37181854248047,222.82205200195312,226.6588897705078,43.38999938964844
2018-01-04,228.98536682128906,57.04683303833008,91.85403442382812,199.25,152.34632873535156,63.815731048583984,183.22000122070312,12.119999885559082,110.72881317138672,10.231804847717285,195.68792724609375,43.100738525390625,67.87964630126953,160.69374084472656,65.5999984741211,71.60218811035156,127.21322631835938,121.15664672851562,122.69000244140625,233.3000030517578,80.12633514404297,166.88336181640625,259.2848205566406,39.325687408447266,97.80168914794922,1095.760009765625,1086.4000244140625,64.6856460571289,1209.5899658203125,10.975545883178711,54.99855422973633,51.87421417236328,67.27446746826172,98.68769836425781,58.05049133300781,135.38856506347656,84.98041534423828,163.1980743408203,91.67440032958984,73.19117736816406,171.63751220703125,87.34883880615234,88.53900909423828,151.82000732421875,226.24948120117188,132.93902587890625,60.81300735473633,45.11088180541992,40.6306037902832,169.09152221679688,52.88617706298828,87.55438232421875,38.6155891418457,28.870975494384766,232.69000244140625,61.14639663696289,96.52978515625,81.2717514038086,34.2195930480957,112.06999969482422,114.76483917236328,761.260009765625,166.11563110351562,113.38894653320312,33.30055618286133,37.8230094909668,29.335872650146484,53.02305221557617,67.33927154541016,48.762733459472656,216.80697631835938,200.69000244140625,64.60581970214844,339.989990234375,500.6206359863281,25.13797950744629,287.8513488769531,1807.25,52.4691276550293,121.02932739257812,25.31999969482422,59.00644302368164,256.7783508300781,89.33259582519531,52.11489486694336,86.8473892211914,28.44510841369629,43.58000183105469,44.32457733154297,98.73564147949219,64.08000183105469,60.142337799072266,68.25,63.664363861083984,154.02163696289062,121.90777587890625,44.04999923706055,56.7808837890625,71.62413024902344,103.97974395751953,106.68000030517578,51.25,26.360397338867188,14.458807945251465,68.83802795410156,41.80930709838867,50.83332443237305,349.7900085449219,120.93356323242188,307.1099853515625,139.40170288085938,48.80799102783203,206.94129943847656,127.14249420166016,70.70126342773438,159.34861755371094,37.35552978515625,72.88848114013672,41.86865234375,89.77086639404297,139.93727111816406,143.759521484375,44.097503662109375,43.81206130981445,71.2885513305664,72.59031677246094,39.36732482910156,84.1625747680664,36.457305908203125,153.26348876953125,55.456241607666016,77.45358276367188,221.14723205566406,223.47003173828125,43.7400016784668
2018-01-05,230.7696075439453,57.211708068847656,93.4530258178711,202.32000732421875,153.60305786132812,65.50340270996094,185.33999633789062,11.880000114440918,111.90593719482422,10.269596099853516,196.60455322265625,43.386016845703125,68.96492767333984,162.04046630859375,65.83000183105469,71.49553680419922,128.67860412597656,121.40518951416016,122.80000305175781,241.07000732421875,80.32327270507812,167.5738983154297,259.9820251464844,39.16361999511719,98.8398666381836,1110.2900390625,1102.22998046875,64.86992645263672,1229.1400146484375,10.975545883178711,54.96024703979492,51.85452651977539,67.13224792480469,98.91276550292969,58.29076385498047,136.2613525390625,84.14623260498047,163.75588989257812,92.78407287597656,73.00321197509766,172.66015625,88.4132308959961,88.89781188964844,152.4499969482422,230.3083953857422,134.06796264648438,61.59529113769531,44.677494049072266,40.38389205932617,171.0166778564453,53.18815231323242,90.17381286621094,38.35783767700195,29.156532287597656,236.77000427246094,61.42688751220703,97.74543762207031,80.5072250366211,34.345664978027344,110.83999633789062,114.69697570800781,775.5,165.7826690673828,114.72886657714844,33.11784362792969,38.05971145629883,29.471912384033203,53.15878677368164,68.09721374511719,48.915504455566406,217.87635803222656,201.4199981689453,66.13262939453125,342.489990234375,504.8858947753906,25.29851531982422,299.6595764160156,1823.5400390625,53.99251937866211,122.349853515625,25.969999313354492,59.14022445678711,258.2999267578125,90.4267807006836,52.183753967285156,86.70219421386719,28.297517776489258,43.9900016784668,44.49393844604492,98.74537658691406,63.91999816894531,59.726654052734375,71.04000091552734,63.14057540893555,156.4560089111328,125.40657806396484,44.27000045776367,56.369712829589844,71.50650787353516,104.95903778076172,104.98999786376953,52.744998931884766,26.247385025024414,14.484369277954102,70.35424041748047,41.87643814086914,51.02954864501953,350.8800048828125,120.73532104492188,313.7900085449219,139.6533966064453,48.93505096435547,210.4496307373047,126.3124008178711,71.06619262695312,159.8133087158203,37.872886657714844,72.79195404052734,42.06035614013672,90.54288482666016,139.97567749023438,144.69741821289062,43.78211212158203,43.80255126953125,71.89668273925781,72.67704772949219,39.72547912597656,85.08585357666016,36.57261657714844,155.24900817871094,55.34920120239258,77.37784576416016,215.3587646484375,230.4175262451172,43.529998779296875
2018-01-08,230.0213623046875,57.04683303833008,91.95570373535156,207.8000030517578,154.83055114746094,65.76000213623047,185.0399932861328,12.279999732971191,111.11785888671875,10.269596099853516,197.64930725097656,43.49722671508789,69.1129150390625,162.21363830566406,65.87999725341797,70.5356674194336,134.2763214111328,121.6728515625,119.69999694824219,248.89999389648438,79.99833679199219,165.89126586914062,258.5483703613281,39.60215377807617,98.37413024902344,1114.2099609375,1106.93994140625,64.7870101928711,1246.8699951171875,10.975545883178711,55.61145782470703,51.34238052368164,67.72013092041016,98.0027084350586,57.90631866455078,137.71600341796875,84.87371826171875,165.41969299316406,94.3220443725586,73.48799133300781,172.61239624023438,89.3593521118164,89.052978515625,153.7100067138672,227.83175659179688,134.07778930664062,61.88864517211914,44.22484588623047,40.697025299072266,170.38148498535156,54.474021911621094,90.5283203125,38.271915435791016,29.304237365722656,251.05999755859375,61.465579986572266,96.19208526611328,80.75883483886719,34.44472122192383,111.41999816894531,114.34793853759766,766.47998046875,165.90634155273438,115.15608215332031,33.18516540527344,38.08930206298828,29.267854690551758,53.38177490234375,68.1956558227539,49.17330551147461,217.20921325683594,202.74000549316406,66.92002868652344,329.6499938964844,508.6515808105469,24.84523582458496,300.93060302734375,1851.81005859375,54.021812438964844,121.27812957763672,25.809999465942383,59.159332275390625,258.9180603027344,90.98365020751953,52.48981857299805,87.87345123291016,28.44510841369629,44.91999816894531,44.81383514404297,98.13204956054688,64.80000305175781,61.61613464355469,70.05000305175781,62.902488708496094,160.38768005371094,127.30339050292969,44.84000015258789,55.56694793701172,71.61433410644531,105.42444610595703,104.18000030517578,52.459999084472656,26.407487869262695,14.680333137512207,70.4140853881836,40.96546173095703,51.255218505859375,356.54998779296875,121.33002471923828,318.4700012207031,138.9467010498047,49.296661376953125,208.12074279785156,126.72746276855469,70.74927520751953,160.0703582763672,38.26569747924805,71.9425048828125,42.23289108276367,90.03810119628906,140.6576690673828,146.70858764648438,44.288658142089844,43.736000061035156,71.96533203125,72.7830581665039,39.18341064453125,85.32627868652344,36.053714752197266,155.68800354003906,55.91358947753906,78.46646881103516,212.38125610351562,231.56710815429688,43.54999923706055
2018-01-09,231.45065307617188,57.14381790161133,92.64889526367188,209.75999450683594,155.3468780517578,65.32575225830078,186.6999969482422,11.819999694824219,110.22006225585938,10.165671348571777,197.39305114746094,43.516563415527344,70.80990600585938,162.62725830078125,67.48999786376953,69.12010192871094,132.31271362304688,120.7551498413086,121.80000305175781,251.44000244140625,81.66249084472656,170.84194946289062,263.1242980957031,39.001548767089844,97.9375228881836,1112.7900390625,1106.260009765625,64.10513305664062,1252.699951171875,10.975545883178711,54.89320755004883,51.29313659667969,66.92364501953125,98.3647689819336,58.271541595458984,136.7850341796875,84.107421875,167.42013549804688,94.92554473876953,73.21097564697266,175.26943969726562,89.49732971191406,88.86872100830078,155.13999938964844,230.62290954589844,134.41156005859375,61.83975601196289,42.90542221069336,39.83354949951172,170.36195373535156,53.441429138183594,91.33583068847656,38.39601516723633,29.353471755981445,249.97999572753906,61.5429573059082,95.62284851074219,79.92656707763672,34.207489013671875,112.11000061035156,115.14295959472656,770.9500122070312,164.6505584716797,115.45709228515625,33.68519973754883,37.970951080322266,29.41360855102539,53.866539001464844,68.2940902709961,49.73664855957031,222.13421630859375,203.02000427246094,67.0064468383789,336.3599853515625,512.9264526367188,24.967998504638672,308.9645080566406,1865.2900390625,54.43195724487305,119.99586486816406,27.959999084472656,59.10199737548828,255.33290100097656,91.15949249267578,51.609886169433594,88.53167724609375,28.651731491088867,45.06999969482422,44.83279037475586,98.99848937988281,63.81999969482422,63.392250061035156,69.80000305175781,64.40719604492188,160.7740936279297,128.541748046875,45.150001525878906,54.81313705444336,71.42808532714844,105.18205261230469,105.48999786376953,52.98500061035156,26.143789291381836,14.092440605163574,71.52131652832031,40.72572708129883,52.33448028564453,354.760009765625,120.6786880493164,319.3699951171875,141.19261169433594,49.2477912902832,207.77088928222656,126.10488891601562,70.3075180053711,159.39805603027344,38.02618408203125,72.69542694091797,42.35749435424805,90.25585174560547,140.3887176513672,147.5788116455078,43.686546325683594,43.954673767089844,72.0536117553711,72.88904571533203,39.30924987792969,86.91316986083984,35.92880630493164,154.640380859375,56.37094497680664,77.63343811035156,217.5135040283203,234.16619873046875,43.47999954223633
2018-01-10,231.3163604736328,57.05652618408203,92.14057159423828,208.13999938964844,154.80133056640625,65.95740509033203,187.11000061035156,11.960000038146973,110.31980895996094,10.184566497802734,195.53021240234375,43.874366760253906,69.84302520751953,161.94427490234375,66.33000183105469,69.85698699951172,129.88999938964844,119.76095581054688,121.45999908447266,248.30999755859375,81.33753967285156,169.22738647460938,267.17974853515625,38.31513595581055,97.44268798828125,1110.1400146484375,1102.6099853515625,64.76856994628906,1254.3299560546875,10.975545883178711,54.08877944946289,52.967445373535156,65.89959716796875,99.04976654052734,58.62714385986328,133.4490509033203,83.12773895263672,169.10317993164062,94.62378692626953,72.9339599609375,174.7724151611328,88.21612548828125,87.3849868774414,152.11000061035156,229.8661346435547,134.1563262939453,62.00598907470703,42.366092681884766,39.34013748168945,170.32284545898438,51.92177200317383,89.08074951171875,38.10007858276367,29.333776473999023,252.27999877929688,61.484920501708984,93.09501647949219,78.19429779052734,33.41366195678711,111.47000122070312,114.0667724609375,767.780029296875,162.64321899414062,115.14637756347656,34.108306884765625,37.32988357543945,29.685688018798828,55.553497314453125,67.35895538330078,50.328636169433594,220.30941772460938,205.61000061035156,67.544189453125,336.7200012207031,510.64971923828125,24.5241641998291,310.7401123046875,1872.9100341796875,53.2308235168457,119.2781982421875,27.520000457763672,59.254886627197266,249.94097900390625,90.83711242675781,51.946556091308594,88.5123291015625,27.5103816986084,44.84000015258789,43.42999267578125,100.41011810302734,63.91999816894531,64.29920196533203,70.30000305175781,64.71195220947266,160.23312377929688,130.0552520751953,44.27000045776367,55.46904754638672,70.91828918457031,104.88147735595703,105.45999908447266,52.900001525878906,25.672897338867188,14.893338203430176,72.1697006225586,40.67777633666992,52.55033493041992,350.8299865722656,121.4527587890625,321.79998779296875,140.6505126953125,48.66139221191406,206.99127197265625,124.0691909790039,69.32794952392578,158.5181121826172,38.23695755004883,73.02362823486328,43.038063049316406,89.88964080810547,138.72702026367188,147.83985900878906,42.98885726928711,43.80255126953125,72.5538558959961,72.09886169433594,39.77387619018555,87.81720733642578,35.39068603515625,154.1614532470703,56.09847640991211,76.60161590576172,214.84945678710938,230.90736389160156,43.52000045776367
2018-01-11,232.438720703125,57.446327209472656,92.4105224609375,210.14999389648438,155.0059051513672,68.33592224121094,188.9199981689453,12.140000343322754,112.6740493774414,10.354623794555664,197.83657836914062,44.333709716796875,69.8528823852539,163.5026397705078,65.20999908447266,72.53297424316406,131.58004760742188,119.5888900756836,122.4800033569336,252.91000366210938,83.09033966064453,172.27169799804688,268.68212890625,37.981468200683594,97.78228759765625,1112.050048828125,1105.52001953125,64.76856994628906,1276.6800537109375,10.975545883178711,53.77275085449219,55.56755828857422,65.16949462890625,98.57028198242188,58.77131271362305,130.88885498046875,82.1965560913086,172.13265991210938,95.52904510498047,73.7748794555664,173.9122314453125,89.47762298583984,88.43232727050781,152.2100067138672,230.95704650878906,132.79180908203125,63.316322326660156,44.30189514160156,38.85622024536133,171.2903289794922,51.82435607910156,90.65633392333984,38.720603942871094,29.934436798095703,260.7900085449219,61.320499420166016,92.41966247558594,77.42009735107422,33.28592300415039,113.26000213623047,113.611083984375,773.3099975585938,161.51109313964844,116.09793090820312,35.0987663269043,37.85260009765625,29.792573928833008,56.06734085083008,67.38849639892578,50.7583122253418,221.54556274414062,206.69000244140625,68.85972595214844,333.07000732421875,516.7498779296875,24.628042221069336,318.366455078125,1893.0999755859375,54.597965240478516,118.52224731445312,27.43000030517578,59.6944580078125,250.57809448242188,91.2962646484375,50.9671516418457,90.91291046142578,27.943307876586914,44.869998931884766,43.36363983154297,101.6562271118164,64.44000244140625,65.29119873046875,71.91000366210938,65.52145385742188,163.44996643066406,129.9176788330078,45.119998931884766,56.56550598144531,71.30062866210938,107.88723754882812,104.58000183105469,53.38999938964844,25.8330020904541,14.884818077087402,72.45897674560547,41.924381256103516,53.148834228515625,355.2699890136719,125.14373779296875,325.5,139.88572692871094,48.250911712646484,210.78945922851562,126.14441680908203,69.88494873046875,160.2186737060547,38.41899108886719,72.9367446899414,43.42146301269531,88.88998413085938,136.3833770751953,147.7528533935547,42.42497253417969,43.77403259277344,72.59307861328125,71.83869934082031,41.23550796508789,88.98091888427734,35.32341384887695,157.50390625,57.587303161621094,76.09989166259766,214.5458221435547,228.55819702148438,44.5
2018-01-12,234.51071166992188,57.339134216308594,93.40658569335938,215.11000061035156,155.98011779785156,69.44129943847656,195.0500030517578,12.020000457763672,115.65675354003906,10.430206298828125,199.88671875,41.06997299194336,70.77043914794922,163.67579650878906,65.5199966430664,71.28223419189453,130.43707275390625,119.6080093383789,122.70999908447266,258.42999267578125,83.74024200439453,171.2310028076172,271.38250732421875,37.68592834472656,99.07271575927734,1130.6500244140625,1122.260009765625,64.1419906616211,1305.199951171875,10.975545883178711,53.16941452026367,57.586585998535156,63.965274810791016,98.80512237548828,58.59831619262695,128.97845458984375,78.40392303466797,175.0755615234375,96.36618041992188,74.3981704711914,176.8560028076172,90.5025863647461,89.23722839355469,154.22000122070312,235.69412231445312,134.04833984375,63.87369918823242,45.4190673828125,38.5430908203125,173.05911254882812,52.067893981933594,91.4933853149414,38.6633186340332,30.367698669433594,259.0299987792969,61.78475570678711,92.03373718261719,77.26525115966797,33.66914749145508,115.91000366210938,114.8617935180664,787.9299926757812,160.04598999023438,115.88430786132812,35.77189254760742,37.37919616699219,30.307580947875977,56.63935470581055,67.27035522460938,50.73921203613281,223.3997802734375,210.16000366210938,70.33851623535156,335.95001220703125,533.6668090820312,24.892452239990234,326.2159729003906,1919.4000244140625,55.886993408203125,117.05818176269531,27.459999084472656,60.019351959228516,251.32937622070312,91.87267303466797,50.53866958618164,91.26139068603516,28.415586471557617,45.06999969482422,43.13615417480469,102.63949584960938,65.23999786376953,67.53966522216797,72.33000183105469,66.36902618408203,164.5125732421875,129.24935913085938,44.88999938964844,57.59343719482422,71.44768524169922,107.9551010131836,106.0,54.7400016784668,25.7764949798584,14.791097640991211,72.71833038330078,41.732601165771484,54.345829010009766,354.0,126.11602783203125,327.3399963378906,140.9893341064453,47.908843994140625,213.28826904296875,125.64042663574219,71.09500122070312,158.6466522216797,39.156715393066406,74.17229461669922,43.632347106933594,89.11763763427734,135.39405822753906,147.6754913330078,42.061798095703125,43.87861251831055,73.13255310058594,71.9061508178711,41.08062744140625,89.48103332519531,35.27537536621094,158.7311248779297,58.43389129638672,75.24791717529297,213.04730224609375,230.75741577148438,44.849998474121094
2018-01-16,234.76971435546875,56.949337005615234,95.40802764892578,218.08999633789062,153.8855743408203,67.81285095214844,192.4600067138672,11.90999984741211,113.62173461914062,10.090091705322266,200.09368896484375,41.77106857299805,70.27713775634766,160.4051513671875,64.5,69.11042022705078,125.04450225830078,119.42637634277344,124.4800033569336,263.8800048828125,82.78507995605469,173.76954650878906,253.4127655029297,37.71452713012695,99.09213256835938,1130.699951171875,1121.760009765625,63.50619125366211,1304.8599853515625,10.975545883178711,53.111961364746094,57.1039924621582,64.00320434570312,98.1886215209961,58.684814453125,131.52891540527344,79.752197265625,170.5265350341797,96.90154266357422,74.11126708984375,177.33389282226562,89.96053314208984,90.2845687866211,153.38999938964844,237.59092712402344,132.07516479492188,63.62923812866211,44.561927795410156,38.62848663330078,172.1796112060547,53.09074020385742,91.14872741699219,38.93062210083008,29.94428253173828,252.77000427246094,61.339839935302734,90.58650207519531,77.5168685913086,33.504905700683594,111.9800033569336,115.75376892089844,781.02001953125,160.8070831298828,113.97151947021484,34.88720703125,37.86246109008789,30.356163024902344,55.78618621826172,66.61084747314453,50.68192672729492,224.21405029296875,210.2899932861328,69.5223159790039,338.8500061035156,540.8427734375,25.147418975830078,325.1971740722656,1919.469970703125,54.99834442138672,116.32135009765625,26.979999542236328,57.25775146484375,250.3403778076172,91.90198516845703,50.80646896362305,89.99333190917969,27.57925796508789,44.279998779296875,44.01764678955078,101.6562271118164,63.84000015258789,68.56945037841797,71.33000183105469,65.25477600097656,163.55624389648438,128.541748046875,44.650001525878906,58.180824279785156,70.7320327758789,106.33587646484375,104.81999969482422,54.650001525878906,25.917760848999023,14.774057388305664,70.44401550292969,39.03800582885742,54.48319625854492,352.92999267578125,124.61506652832031,327.3699951171875,141.0183563232422,48.13364028930664,214.6476287841797,124.34588623046875,71.25826263427734,159.39805603027344,38.840545654296875,74.43292999267578,43.37354278564453,89.0384521484375,136.78677368164062,147.1630401611328,42.30072784423828,44.23991394042969,73.29930114746094,72.67704772949219,40.480491638183594,90.20234680175781,35.33303451538086,156.36648559570312,57.25645446777344,74.8030014038086,213.28233337402344,230.8773956298828,44.31999969482422
